Point 0 --> || t = 502.1000000000 || max_dvdt = 10.8138469918 ||
Point 1 --> || t = 502.1000000000 || max_dvdt = 10.9214931336 ||
Point 2 --> || t = 502.1000000000 || max_dvdt = 11.0948578780 ||
Point 3 --> || t = 502.1000000000 || max_dvdt = 11.2565967138 ||
Point 4 --> || t = 502.1000000000 || max_dvdt = 11.3118058140 ||
Point 5 --> || t = 502.1000000000 || max_dvdt = 11.1799027997 ||
Point 6 --> || t = 502.4000000000 || max_dvdt = 12.9159983227 ||
Point 7 --> || t = 502.4000000000 || max_dvdt = 13.4794144853 ||
Point 8 --> || t = 502.4000000000 || max_dvdt = 13.6954094454 ||
Point 9 --> || t = 502.4000000000 || max_dvdt = 13.6161714586 ||
Point 10 --> || t = 502.5000000000 || max_dvdt = 13.5182775428 ||
Point 11 --> || t = 502.5000000000 || max_dvdt = 14.0089967045 ||
Point 12 --> || t = 502.5000000000 || max_dvdt = 14.1416527275 ||
Point 13 --> || t = 502.5000000000 || max_dvdt = 13.9809539439 ||
Point 14 --> || t = 502.6000000000 || max_dvdt = 14.1854408785 ||
Point 15 --> || t = 502.6000000000 || max_dvdt = 14.5507138216 ||
Point 16 --> || t = 502.6000000000 || max_dvdt = 14.5582214383 ||
Point 17 --> || t = 502.6000000000 || max_dvdt = 14.2872104720 ||
Point 18 --> || t = 502.7000000000 || max_dvdt = 14.6191626688 ||
Point 19 --> || t = 502.7000000000 || max_dvdt = 14.8608311834 ||
Point 20 --> || t = 502.7000000000 || max_dvdt = 14.7522060746 ||
Point 21 --> || t = 502.8000000000 || max_dvdt = 14.3889366402 ||
Point 22 --> || t = 502.8000000000 || max_dvdt = 14.9079708105 ||
Point 23 --> || t = 502.8000000000 || max_dvdt = 15.0080957914 ||
Point 24 --> || t = 502.8000000000 || max_dvdt = 14.7766858285 ||
Point 25 --> || t = 502.9000000000 || max_dvdt = 14.7670133151 ||
Point 26 --> || t = 502.9000000000 || max_dvdt = 15.1109558171 ||
Point 27 --> || t = 502.9000000000 || max_dvdt = 15.0500784591 ||
Point 28 --> || t = 502.9000000000 || max_dvdt = 14.6880679732 ||
Point 29 --> || t = 503.0000000000 || max_dvdt = 15.0718953121 ||
Point 30 --> || t = 503.0000000000 || max_dvdt = 15.2103704917 ||
Point 31 --> || t = 503.0000000000 || max_dvdt = 14.9748562655 ||
Point 32 --> || t = 503.1000000000 || max_dvdt = 14.9046122775 ||
Point 33 --> || t = 503.1000000000 || max_dvdt = 15.2594975764 ||
Point 34 --> || t = 503.1000000000 || max_dvdt = 15.1690638103 ||
Point 35 --> || t = 503.1000000000 || max_dvdt = 14.7540376325 ||
Point 36 --> || t = 503.2000000000 || max_dvdt = 15.2131827647 ||
Point 37 --> || t = 503.2000000000 || max_dvdt = 15.2743276009 ||
Point 38 --> || t = 503.2000000000 || max_dvdt = 14.9439747194 ||
Point 39 --> || t = 503.3000000000 || max_dvdt = 15.1011439625 ||
Point 40 --> || t = 503.3000000000 || max_dvdt = 15.3035526266 ||
Point 41 --> || t = 503.3000000000 || max_dvdt = 15.0497865592 ||
Point 42 --> || t = 503.4000000000 || max_dvdt = 14.9649819311 ||
Point 43 --> || t = 503.4000000000 || max_dvdt = 15.2767142390 ||
Point 44 --> || t = 503.4000000000 || max_dvdt = 15.0718985454 ||
Point 45 --> || t = 503.5000000000 || max_dvdt = 14.8518860663 ||
Point 46 --> || t = 503.5000000000 || max_dvdt = 15.2135605069 ||
Point 47 --> || t = 503.5000000000 || max_dvdt = 15.0044166596 ||
Point 48 --> || t = 503.6000000000 || max_dvdt = 14.8007809166 ||
Point 49 --> || t = 503.6000000000 || max_dvdt = 15.1168946866 ||
Point 50 --> || t = 503.6000000000 || max_dvdt = 14.8188401290 ||
Point 51 --> || t = 503.7000000000 || max_dvdt = 14.8124210099 ||
Point 52 --> || t = 503.7000000000 || max_dvdt = 14.9398310106 ||
Point 53 --> || t = 503.7000000000 || max_dvdt = 14.4365483121 ||
Point 54 --> || t = 503.8000000000 || max_dvdt = 14.7879902227 ||
Point 55 --> || t = 503.8000000000 || max_dvdt = 14.5331615033 ||
Point 56 --> || t = 503.9000000000 || max_dvdt = 14.4731187173 ||
Point 57 --> || t = 503.9000000000 || max_dvdt = 14.4312244856 ||
Point 58 --> || t = 504.0000000000 || max_dvdt = 14.1480527658 ||
Point 59 --> || t = 504.0000000000 || max_dvdt = 14.1672879603 ||
Point 60 --> || t = 504.1000000000 || max_dvdt = 13.9108176189 ||
Point 61 --> || t = 504.1000000000 || max_dvdt = 13.6939224313 ||
Point 62 --> || t = 504.2000000000 || max_dvdt = 13.6431087387 ||
Point 63 --> || t = 504.3000000000 || max_dvdt = 13.0676871764 ||
Point 64 --> || t = 504.3000000000 || max_dvdt = 12.8012584762 ||
Point 65 --> || t = 504.4000000000 || max_dvdt = 12.5477840451 ||
Point 66 --> || t = 504.5000000000 || max_dvdt = 12.0526800616 ||
Point 67 --> || t = 504.6000000000 || max_dvdt = 11.2752723786 ||
Point 68 --> || t = 504.8000000000 || max_dvdt = 10.3296385185 ||
Point 69 --> || t = 504.9000000000 || max_dvdt = 8.9416235737 ||
Point 70 --> || t = 505.2000000000 || max_dvdt = 6.8481023172 ||
Point 71 --> || t = 509.2000000000 || max_dvdt = 6.4416542981 ||
Point 72 --> || t = 509.2000000000 || max_dvdt = 6.7348661930 ||
Point 73 --> || t = 509.2000000000 || max_dvdt = 6.9990221663 ||
